,cluster,X,Y,INDEX_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,ObjectId
13774,2,-8839286.98572996,5434746.9902646,80934417,7001450084,2017,2017/08/11 04:00:00+00,2117,21,STEELES AVE E,MAXOME AVE,<Null>,Major Arterial,North York,18,32,43.801318,-79.404666,Mid-Block,Non Intersection,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Rear End,Driver,30 to 34,Major,<Null>,East,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D32,50,Newtonbrook East (50),13775
13775,7,-8849289.26461672,5415461.04945501,80757189,7001169974,2017,2017/06/30 04:00:00+00,1304,13,847 JANE ST,<Null>,<Null>,Collector,Etobicoke York,5,12,43.676146,-79.494518,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Fatal,Cyclist Collisions,Driver,60 to 64,None,<Null>,West,Delivery Van,Turning Right,Improper Turn,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D12,111,Rockcliffe-Smythe (111),13776
13776,2,-8839286.98572996,5434746.9902646,80934418,7001450084,2017,2017/08/11 04:00:00+00,2117,21,STEELES AVE E,MAXOME AVE,<Null>,Major Arterial,North York,18,32,43.801318,-79.404666,Mid-Block,Non Intersection,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Rear End,Driver,30 to 34,Minimal,<Null>,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D32,50,Newtonbrook East (50),13777
13777,2,-8839286.98572996,5434746.9902646,80934419,7001450084,2017,2017/08/11 04:00:00+00,2117,21,STEELES AVE E,MAXOME AVE,<Null>,Major Arterial,North York,18,32,43.801318,-79.404666,Mid-Block,Non Intersection,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Rear End,Driver,60 to 64,None,<Null>,East,"Automobile, Station Wagon",Going Ahead,Following too Close,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D32,50,Newtonbrook East (50),13778
13778,8,-8847855.58089479,5416946.13731462,80938973,7001455540,2017,2017/08/12 04:00:00+00,1917,19,BLACK CREEK DR,PHOTOGRAPHY DR,<Null>,Major Arterial,Etobicoke York,5,12,43.685794,-79.481639,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,35 to 39,Major,<Null>,North,Motorcycle,Going Ahead,Lost control,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D12,110,Keelesdale-Eglinton West (110),13779
13779,3,-8847855.58089479,5416946.13731462,80938974,7001455540,2017,2017/08/12 04:00:00+00,1917,19,BLACK CREEK DR,PHOTOGRAPHY DR,<Null>,Major Arterial,Etobicoke York,5,12,43.685794,-79.481639,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,35 to 39,None,<Null>,South,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D12,110,Keelesdale-Eglinton West (110),13780
13780,2,-8852165.76025882,5429726.1012964,80927111,7001457563,2017,2017/08/13 04:00:00+00,237,2,JANE ST,SHOREHAM DR,<Null>,Major Arterial,Etobicoke York,7,31,43.768756,-79.520358,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,20 to 24,None,<Null>,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,D31,24,Black Creek (24),13781
13781,0,-8852165.76025882,5429726.1012964,80927112,7001457563,2017,2017/08/13 04:00:00+00,237,2,JANE ST,SHOREHAM DR,<Null>,Major Arterial,Etobicoke York,7,31,43.768756,-79.520358,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,Major,<Null>,South,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,"Ability Impaired, Alcohol",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,D31,24,Black Creek (24),13782
13782,6,-8827608.23531186,5421872.43442391,80780723,7001464361,2017,2017/08/14 04:00:00+00,900,9,VICTORIA PARK AVE,EDGE PARK AVE,15 m South of,Major Arterial,Toronto and East York,"19,20","41,54",43.717787,-79.299754,Intersection,Intersection Related,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,65 to 69,Major,<Null>,North,"Automobile, Station Wagon",Going Ahead,Lost control,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D41,120,Clairlea-Birchmount (120),13783
13783,7,-8827608.23531186,5421872.43442391,80780724,7001464361,2017,2017/08/14 04:00:00+00,900,9,VICTORIA PARK AVE,EDGE PARK AVE,15 m South of,Major Arterial,Toronto and East York,"19,20","41,54",43.717787,-79.299754,Intersection,Intersection Related,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,25 to 29,Minor,<Null>,North,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D41,120,Clairlea-Birchmount (120),13784
13791,7,-8843932.68203924,5424475.14977912,80921627,7001474297,2017,2017/08/15 04:00:00+00,1700,17,FAYWOOD  BLVD,WILSON AVE,<Null>,Major Arterial,North York,6,32,43.734683,-79.446399,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,30 to 34,None,<Null>,West,Municipal Transit Bus (TTC),Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D32,33,Clanton Park (33),13792
13792,9,-8843932.68203924,5424475.14977912,80921628,7001474297,2017,2017/08/15 04:00:00+00,1700,17,FAYWOOD  BLVD,WILSON AVE,<Null>,Major Arterial,North York,6,32,43.734683,-79.446399,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,30 to 34,None,<Null>,South,"Automobile, Station Wagon",Turning Left,Improper Turn,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D32,33,Clanton Park (33),13793
13793,7,-8845097.08391294,5422796.14797016,80780958,7001489368,2017,2017/08/17 04:00:00+00,2215,22,DUFFERIN ST,CARTWRIGHT  AVE,<Null>,Major Arterial,North York,8,32,43.723784,-79.456859,Intersection,At Intersection,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,40 to 44,None,<Null>,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D32,31,Yorkdale-Glen Park (31),13794
13796,3,-8823855.20999926,5436932.4756019,80932531,7001489490,2017,2017/08/17 04:00:00+00,2245,22,WHITE HEATHER BLVD,LONGSWORD  DR,10 m South of,Collector,Scarborough,23,42,43.815486,-79.26604,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Driver,20 to 24,None,<Null>,North,"Automobile, Station Wagon",Going Ahead,Lost control,"Ability Impaired, Alcohol",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,Yes,<Null>,D42,129,Agincourt North (129),13797
13797,0,-8843932.68203924,5424475.14977912,80780968,7001492041,2017,2017/08/18 04:00:00+00,1055,10,FAYWOOD  BLVD,WILSON  AVE,1 m South of,Major Arterial,North York,6,32,43.734683,-79.446399,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,45 to 49,None,<Null>,South,"Automobile, Station Wagon",Turning Right,Failed to Yield Right of Way,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D32,33,Clanton Park (33),13798
13799,0,-8856280.68523599,5406357.32928722,80786634,7001493534,2017,2017/08/18 04:00:00+00,1444,14,NORTH QUEEN ST,NOVA RD,80 m North of,Minor Arterial,Etobicoke York,3,22,43.616969,-79.557323,Mid-Block,At/Near Private Drive,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,Major,<Null>,West,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D22,14,Islington-City Centre West (14),13800
13800,2,-8856280.68523599,5406357.32928722,80786635,7001493534,2017,2017/08/18 04:00:00+00,1444,14,NORTH QUEEN ST,NOVA RD,80 m North of,Minor Arterial,Etobicoke York,3,22,43.616969,-79.557323,Mid-Block,At/Near Private Drive,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,40 to 44,None,<Null>,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D22,14,Islington-City Centre West (14),13801
13804,7,-8822967.65969916,5424440.48521615,80781061,7001494097,2017,2017/08/18 04:00:00+00,1622,16,MIDLAND AVE,EGLINTON AVE E,25 m South of,Major Arterial,Scarborough,"21,20",41,43.734458,-79.258067,Intersection,Intersection Related,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,65 to 69,None,<Null>,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D41,124,Kennedy Park (124),13805
13808,7,-8856310.40754003,5426638.78440567,80918745,7001496214,2017,2017/08/18 04:00:00+00,2305,23,FINCH  AVE W,DUNCANWOODS  DR,10 m West of,Major Arterial,Etobicoke York,7,31,43.748725,-79.55759,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,None,<Null>,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D31,22,Humbermede (22),13809
13809,2,-8857899.38195162,5423151.67217221,80885786,7001502233,2017,2017/08/19 04:00:00+00,2309,23,HINTON RD,KIPLING AVE,120 m East of,Local,Etobicoke York,1,23,43.726092,-79.571864,Mid-Block,At/Near Private Drive,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,30 to 34,Major,<Null>,East,Motorcycle,Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D23,4,Rexdale-Kipling (4),13810
13810,1,-8857899.38195162,5423151.67217221,80885787,7001502233,2017,2017/08/19 04:00:00+00,2309,23,HINTON RD,KIPLING AVE,120 m East of,Local,Etobicoke York,1,23,43.726092,-79.571864,Mid-Block,At/Near Private Drive,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,35 to 39,None,<Null>,North,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D23,4,Rexdale-Kipling (4),13811
13811,3,-8854890.30479598,5427064.88393601,80914555,7001508706,2017,2017/08/21 04:00:00+00,118,1,FINCH AVE W,WESTON RD,213 m West of,Major Arterial,Etobicoke York,7,31,43.75149,-79.544833,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,unknown,None,<Null>,West,"Automobile, Station Wagon",Going Ahead,Speed too Fast For Condition,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D31,22,Humbermede (22),13812
13812,0,-8854890.30479598,5427064.88393601,80914556,7001508706,2017,2017/08/21 04:00:00+00,118,1,FINCH AVE W,WESTON RD,213 m West of,Major Arterial,Etobicoke York,7,31,43.75149,-79.544833,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,15 to 19,Major,<Null>,East,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D31,22,Humbermede (22),13813
13813,2,-8824540.60410407,5421263.76127504,80933992,7001512006,2017,2017/08/21 04:00:00+00,1414,14,ST CLAIR AVE E,BIRCHMOUNT RD,71 m West of,Major Arterial,Scarborough,20,41,43.713835,-79.272197,Mid-Block,At/Near Private Drive,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,35 to 39,Major,<Null>,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D41,120,Clairlea-Birchmount (120),13814
13814,0,-8824540.60410407,5421263.76127504,80933993,7001512006,2017,2017/08/21 04:00:00+00,1414,14,ST CLAIR AVE E,BIRCHMOUNT RD,71 m West of,Major Arterial,Scarborough,20,41,43.713835,-79.272197,Mid-Block,At/Near Private Drive,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,25 to 29,None,<Null>,North,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D41,120,Clairlea-Birchmount (120),13815
13817,7,-8827649.08956498,5416651.3480796,80894961,7001528499,2017,2017/08/23 04:00:00+00,1010,10,MAIN ST,GERRARD  ST E,<Null>,Minor Arterial,Toronto and East York,19,55,43.683879,-79.300121,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,45 to 49,None,<Null>,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D55,62,East End-Danforth (62),13818
13819,2,-8819491.48596016,5441056.97079177,80788468,7001526213,2017,2017/08/23 04:00:00+00,1525,15,STEELES AVE E,NINTH LINE,84 m West of,Minor Arterial,Scarborough,25,42,43.842215,-79.22684,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,35 to 39,Major,<Null>,East,"Automobile, Station Wagon",Going Ahead,Following too Close,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D42,131,Rouge (131),13820
13820,2,-8819491.48596016,5441056.97079177,80788469,7001526213,2017,2017/08/23 04:00:00+00,1525,15,STEELES AVE E,NINTH LINE,84 m West of,Minor Arterial,Scarborough,25,42,43.842215,-79.22684,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,40 to 44,None,<Null>,East,"Automobile, Station Wagon",Slowing or Stopping,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D42,131,Rouge (131),13821
13823,7,-8828979.91407741,5426644.64025135,80780914,7001535588,2017,2017/08/24 04:00:00+00,2325,23,VICTORIA PARK AVE,CLINTWOOD GT,<Null>,Major Arterial,North York,"16,21","41,33",43.748763,-79.312076,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Driver,40 to 44,None,<Null>,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D41,119,Wexford/Maryvale (119),13824
13827,6,-8820424.00933453,5425210.9936294,80782655,7001538094,2017,2017/08/25 04:00:00+00,1204,12,EGLINTON AVE E,TORRANCE RD,12 m East of,Major Arterial,Scarborough,"21,20",43,43.739459,-79.235217,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Driver,55 to 59,Major,<Null>,East,"Automobile, Station Wagon",Going Ahead,Lost control,Medical or Physical Disability,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,D43,138,Eglinton East (138),13828
13828,3,-8821295.41830846,5422281.37073633,80781222,7001544325,2017,2017/08/26 04:00:00+00,1055,10,3738 ST CLAIR AVE E,<Null>,<Null>,Minor Arterial,Scarborough,20,41,43.720442,-79.243045,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Fatal,SMV Other,Driver,30 to 34,Fatal,37,East,"Automobile, Station Wagon",Going Ahead,Lost control,"Ability Impaired, Drugs",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D41,123,Cliffcrest (123),13829
13830,6,-8846291.20809068,5421544.68235565,80942887,7001553608,2017,2017/08/27 04:00:00+00,1105,11,LESWYN  RD,CALEDONIA  RD,8 m East of,Minor Arterial,North York,8,32,43.715659,-79.467586,Intersection,Intersection Related,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,unknown,None,<Null>,West,"Automobile, Station Wagon",Going Ahead,Other,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D32,31,Yorkdale-Glen Park (31),13831
13831,2,-8821960.44094646,5440259.82662597,80781220,7001553173,2017,2017/08/27 04:00:00+00,2054,20,6065 STEELES AVE E,<Null>,<Null>,Major Arterial,Scarborough,23,42,43.83705,-79.249019,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Driver,45 to 49,None,<Null>,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D42,131,Rouge (131),13832
13833,7,-8854735.79334276,5408781.26078853,80787897,7001555383,2017,2017/08/28 04:00:00+00,849,8,5450 DUNDAS ST W,<Null>,5 m South of,Major Arterial,Etobicoke York,3,22,43.632731,-79.543445,Mid-Block,At/Near Private Drive,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,None,<Null>,South,"Automobile, Station Wagon",Turning Left,Driving Properly,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D22,14,Islington-City Centre West (14),13834
13837,2,-8842880.37889277,5427701.06482481,80887252,7001555657,2017,2017/08/28 04:00:00+00,935,9,SHEPPARD  AVE W,CANYON AVE,6 m West of,Major Arterial,North York,6,32,43.755618,-79.436946,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,70 to 74,Minimal,<Null>,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D32,38,Lansing-Westgate (38),13838
13838,2,-8842880.37889277,5427701.06482481,80887253,7001555657,2017,2017/08/28 04:00:00+00,935,9,SHEPPARD  AVE W,CANYON AVE,6 m West of,Major Arterial,North York,6,32,43.755618,-79.436946,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,45 to 49,None,<Null>,East,Pick Up Truck,Going Ahead,Following too Close,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D32,38,Lansing-Westgate (38),13839
13842,2,-8822294.17677986,5424643.8525116,80925957,7001621842,2017,2017/09/07 04:00:00+00,1538,15,EGLINTON AVE E,BIMBROK RD,<Null>,Major Arterial,Scarborough,"21,20",41,43.735778,-79.252017,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Truck Driver,60 to 64,None,<Null>,West,"Truck - Closed (Blazer, etc)",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D41,124,Kennedy Park (124),13843
13843,1,-8822294.17677986,5424643.8525116,80925958,7001621842,2017,2017/09/07 04:00:00+00,1538,15,EGLINTON AVE E,BIMBROK RD,<Null>,Major Arterial,Scarborough,"21,20",41,43.735778,-79.252017,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,30 to 34,Major,<Null>,East,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D41,124,Kennedy Park (124),13844
13844,0,-8835845.65499158,5419439.8303974,80782081,7001628368,2017,2017/09/08 04:00:00+00,1505,15,BALLIOL ST,BAYVIEW AVE,<Null>,Major Arterial,North York,15,53,43.701991,-79.373752,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,35 to 39,None,<Null>,East,Passenger Van,Turning Right,Failed to Yield Right of Way,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D53,56,Leaside-Bennington (56),13845
13848,7,-8832157.08366414,5417798.69303734,80782535,7001651562,2017,2017/09/12 04:00:00+00,844,8,COSBURN AVE,LESMOUNT AVE,<Null>,Minor Arterial,Toronto and East York,14,54,43.691332,-79.340617,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Truck Driver,45 to 49,None,<Null>,West,"Truck - Closed (Blazer, etc)",Turning Right,Improper Turn,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D54,59,Danforth East York (59),13849
13850,7,-8829297.50858465,5437186.72156147,80888647,7001653729,2017,2017/09/12 04:00:00+00,1426,14,BIRCHMOUNT RD,WINTERMUTE BLVD,88 m North of,Major Arterial,Scarborough,22,42,43.817134,-79.314929,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Driver,35 to 39,Minimal,<Null>,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D42,116,Steeles (116),13851
13851,6,-8829297.50858465,5437186.72156147,80888648,7001653729,2017,2017/09/12 04:00:00+00,1426,14,BIRCHMOUNT RD,WINTERMUTE BLVD,88 m North of,Major Arterial,Scarborough,22,42,43.817134,-79.314929,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Driver,60 to 64,Major,<Null>,North,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D42,116,Steeles (116),13852
